genes	Diff1	Diff2
C17orf49	-0.120196225	-0.120196225
C2orf68	-0.06468524	-0.06468524
C4orf19	-0.088235306	-0.088235306
C4orf54	0.054325069	0.054325069
C11orf58	-0.065941098	-0.065941098
C9orf24	0.009721497	0.009721497
KRTAP6-3	-0.827674378	-0.827674378
C3orf80	0.080341558	0.080341558
C8orf33	0.030202059	0.030202059
C9orf85	0.001344111	0.001344111
KIAA1143	-0.124104805	-0.124104805
C1orf122	-0.001962017	-0.001962017
C16orf74	-0.237200199	-0.237200199
C12orf75	-0.435659364	-0.435659364
C6orf120	0.031162476	0.031162476
C19orf12	0.264924872	0.264924872
C9orf50	-0.262083213	-0.262083213
C17orf98	-0.114942832	-0.114942832
C2orf81	-0.065514838	-0.065514838
C20orf144	-0.123534106	-0.123534106
C19orf81	0.257250315	0.257250315
C6orf118	-0.047090269	-0.047090269
C11orf97	0.015129025	0.015129025
SPATA31D1	0.060332488	0.060332488
C4orf36	-0.343192041	-0.343192041
C17orf97	0.047258456	0.047258456
C15orf39	-0.324107233	-0.324107233
C12orf50	0.053531201	0.053531201
C16orf95	0.023629228	0.023629228
C2orf88	0.038294752	0.038294752
C20orf141	0.063236366	0.063236366
C17orf50	0.315408138	0.315408138
C9orf131	-0.081124831	-0.081124831
C1orf21	0.002184253	0.002184253
C1orf146	-0.002380763	-0.002380763
C13orf46	-0.01731408	-0.01731408
C4orf47	0.328877642	0.328877642
C16orf46	0.143027883	0.143027883
C19orf44	-0.144133535	-0.144133535
C12orf71	0.026395998	0.026395998
C16orf90	0.136590881	0.136590881
C20orf27	-0.190038846	-0.190038846
C2orf69	0.109409736	0.109409736
C19orf67	-0.003232423	-0.003232423
LINC00643	-0.068937298	-0.068937298
C22orf23	-0.049331641	-0.049331641
C2orf74	-0.006748514	-0.006748514
C3orf62	-0.690821223	-0.690821223
C14orf119	0.001211937	0.001211937
C11orf98	-0.179794445	-0.179794445
C17orf58	-0.223339323	-0.223339323
CXorf38	0.058114567	0.058114567
C4orf3	0.188229806	0.188229806
C11orf24	-0.331051045	-0.331051045
C11orf86	-0.066448937	-0.066448937
C19orf33	-0.211293909	-0.211293909
C9orf64	0.041444817	0.041444817
C12orf43	-0.170195166	-0.170195166
KIAA0825	-0.009659688	-0.009659688
C15orf61	-0.34764772	-0.34764772
C1orf53	-0.020241154	-0.020241154
C19orf25	-0.043871252	-0.043871252
C19orf47	0.046575217	0.046575217
C1orf198	-0.09542847	-0.09542847
C11orf52	0.230631772	0.230631772
C1orf35	-0.302013091	-0.302013091
KRTAP13-2	-0.031505637	-0.031505637
C6orf226	-0.190227772	-0.190227772
SPRR5	-0.273483153	-0.273483153
C1orf68	-0.047691939	-0.047691939
C6orf58	-0.329878851	-0.329878851
C6orf136	-0.096587033	-0.096587033
C19orf48	-0.421095871	-0.421095871
C1orf52	-0.120734873	-0.120734873
C2orf50	-0.127797248	-0.127797248
C22orf39	0.33261138	0.33261138
C3orf70	0.133176646	0.133176646
KIAA2013	-0.070043837	-0.070043837
C1orf210	-0.007775993	-0.007775993
KIAA0586	-0.184666528	-0.184666528
C18orf21	-0.127820573	-0.127820573
C1orf131	-0.333514003	-0.333514003
C2orf72	-0.0211181	-0.0211181
KIAA1671	0.095921601	0.095921601
C2orf76	-0.259796431	-0.259796431
C15orf40	0.286609168	0.286609168
C7orf50	-0.423544104	-0.423544104
C10orf71	0.035264135	0.035264135
C3orf14	0.228900697	0.228900697
C5orf34	-0.108359875	-0.108359875
KIAA1191	-0.177147386	-0.177147386
C10orf67	-0.016268466	-0.016268466
C7orf31	0.063538015	0.063538015
C16orf87	-0.135788886	-0.135788886
C5orf52	-0.069620497	-0.069620497
C12orf29	-0.068903646	-0.068903646
C8orf89	0.028313566	0.028313566
C14orf39	0.281380599	0.281380599
C3orf38	0.117564405	0.117564405
C18orf54	-0.135967251	-0.135967251
C2orf73	0.027805075	0.027805075
KIAA0040	0.516293952	0.516293952
C11orf65	0.040047238	0.040047238
C16orf96	0.213272607	0.213272607
C17orf100	-0.127039895	-0.127039895
C4orf46	-0.084386771	-0.084386771
C3orf20	-0.36992208	-0.36992208
